boundary,states,,,,,,,,,,,,
feature,State of Nevada,,,,,,,,,,,,
center,"-117.0227, 38.502",,,,,,,,,,,,
scenario,High (RCP 8.5),,,,,,,,,,,,
climate indicator,Precipitation,,,,,,,,,,,,
units,inch,,,,,,,,,,,,
,,,,,CanESM2 (Average),,,,CNRM-CM5 (Cool/Wet),,,HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
year,ModeledRCP8.5RangeMin,ModeledRCP8.5RangeMax,Observed,ACCESS1-0,CanESM2  ,CCSM4,CESM1-BGC,CMCC-CMS,CNRM-CM5  ,GFDL-CM3,HadGEM2-CC,HadGEM2-ES  ,MIROC5  
1980,5.078617574,19.8359739,13.19173097,10.3952582,7.679131424,9.739052954,10.74634933,8.986333877,9.105451834,15.93309081,11.1023807,8.775206923,12.3397695
1981,5.945514018,19.85353829,10.89507681,8.293240117,9.705532792,7.828249316,19.85298499,11.70709727,11.1156224,8.815676991,8.122120744,10.88284442,12.48910765
1982,5.258317458,17.61234945,13.79649385,9.882006277,10.50604072,8.078515326,12.0091532,7.5751078,13.96168417,10.77807555,10.63559907,9.554569194,7.873867564
1983,4.924577153,19.78637537,18.43424517,9.775196911,10.60856699,12.16775476,10.99631613,10.71298809,10.15111986,12.16961228,7.634837167,8.831273039,10.14155099
1984,6.00474445,20.38608149,12.16406402,13.44538914,10.08825656,16.01448507,9.565614045,14.35606408,8.367555684,11.87455952,9.288087298,8.82109055,11.06421426
1985,5.424139696,20.15975647,8.835129301,8.62910954,16.93468341,8.342864203,6.583865072,10.02621384,14.78664166,9.350753121,15.36012827,8.995456828,15.34613629
1986,4.689658189,16.62444301,9.21561125,9.592877513,10.80183628,5.644122641,7.007412314,7.926444536,9.163753729,11.05032719,12.99657073,6.008682962,11.08963936
1987,5.914895044,17.92541627,12.31075121,8.238851321,9.224581819,8.992189458,9.987881791,9.028759939,10.88131098,10.66789661,12.93782603,7.488731426,9.454806664
1988,5.541512597,16.86929572,9.386330738,13.4342892,7.36198946,15.69101072,6.237457571,12.55891258,9.36383367,13.12610659,7.47756106,10.94448032,8.543506048
1989,6.40119564,17.17306111,7.682526132,8.940729823,11.3315357,8.293146385,10.99620659,12.3298986,10.46972205,14.76532222,11.78738048,14.19218455,11.15236677
1990,5.00976954,17.15764406,9.141033391,7.959308954,12.2788359,7.375541459,9.848136869,7.421043964,7.944423743,7.816180372,9.80275182,11.67430173,8.808430901
1991,5.967339339,15.84208029,9.852199209,9.459490015,9.50660166,12.38274998,7.436741082,11.2280462,9.86289787,10.92661248,8.538490151,9.770990615,11.70861607
1992,5.793147589,17.66435378,9.563559577,7.579721725,12.77404394,16.4649514,9.548862811,11.22668912,10.29557502,11.59205064,9.921055494,9.129237515,12.59046866
1993,5.520181525,18.49105151,10.48589637,9.17136741,13.62437329,8.909916596,15.33561998,11.62403513,10.09453194,11.48841292,12.72783543,11.23864945,17.49737482
1994,4.458547197,15.71512814,9.530135364,6.584729502,12.07215049,10.17794981,12.49532058,8.357216989,8.877817803,8.865097297,9.267549801,10.70721445,5.509654524
1995,5.84660515,15.91181106,13.79076668,9.124289637,12.29712678,7.698135394,10.55281583,8.911609868,13.63847597,8.492268923,9.577850062,10.49579203,7.586651108
1996,5.823571339,16.73419875,12.09684973,10.09474123,8.127188222,13.37727903,11.14470834,11.72951299,15.50210572,8.65554659,11.42352136,14.27881857,12.51725073
1997,5.422823615,18.09223054,10.13333243,13.28071516,11.6716549,15.33281842,10.45130583,16.323671,12.4764696,11.02390827,7.470810364,8.511166178,11.5117446
1998,4.336935074,16.14810085,17.01273348,14.62175834,7.080463486,13.88077429,9.229036534,7.442158448,10.73645752,8.309450424,8.806947103,12.61871346,11.73996848
1999,5.207613264,16.35644957,7.749222327,9.819845755,7.332711227,11.02134724,11.23299322,7.56456441,7.212417447,11.88707133,10.21312796,8.776807447,11.98106645
2000,5.874524285,19.2234109,10.37475813,15.57700509,9.097197949,9.263974413,13.41485669,9.902121143,9.969939149,10.37024455,12.82670834,12.39230371,8.524831594
2001,5.543488345,16.93431414,8.628342785,10.09562614,6.67388484,11.2568048,10.58433085,13.8407089,9.770431654,12.22161675,10.46756413,9.562759319,7.004255064
2002,5.683077448,18.8803104,5.987151721,8.355100865,7.570415944,10.59149112,11.01245698,7.403760339,8.797025892,11.89971051,11.70512682,10.0803717,12.22533296
2003,5.139592704,16.05289747,10.04843284,8.264068186,12.37412623,10.01063418,9.440757047,10.5659293,7.49595609,11.43033332,7.556142218,7.243951659,11.99532719
2004,5.330662486,17.74712944,11.08279278,14.48915804,9.216326666,10.38332715,7.367145412,11.27416419,9.82857487,7.897175595,11.00798312,7.729797902,9.662617075
2005,6.169208684,18.97439926,13.61098169,9.615957376,12.566779,11.73518176,18.35749239,8.205591098,8.583176809,8.435489049,11.090047,9.330098245,10.86008075
2006,4.575407349,16.86661485,9.152186587,8.412722539,13.28366918,14.6168553,12.18154347,11.19786248,10.04571524,13.92774136,4.799777813,7.511574696,12.85993565
2007,5.102734274,17.12578577,,11.57352914,5.963909361,7.492660505,10.60410662,5.833360139,11.99343579,10.1559924,9.331802211,7.554889939,10.190825
2008,4.675863817,20.67354074,,9.781588961,9.719421153,7.177807865,12.5730856,6.92980923,10.47342313,11.95939144,8.797919163,6.009717511,11.57051318
2009,5.952617282,17.59874255,,9.850786002,15.51284777,9.10900924,11.47542027,10.9208411,10.51041977,11.36463836,13.43615042,11.79402472,14.21012423
2010,6.48240646,18.45759992,,10.58986848,16.24582803,14.71913093,10.6588065,9.75253939,13.45909815,9.1443692,9.346008194,16.432129,10.43917925
2011,5.476427041,17.06252196,,11.1645385,10.89468754,11.27822472,13.21088618,11.09673303,9.16306377,9.429675027,11.49447338,9.570187252,11.02039981
2012,5.09843113,17.22325271,,13.68061317,9.653847385,10.59993956,9.217318563,10.05362066,10.21207018,15.21130957,8.337997012,9.661553845,12.85242968
2013,5.222676887,16.78134848,,9.853882261,7.385545671,6.792795927,8.846439957,10.83918819,12.89487213,11.55712512,12.5360307,9.630681111,13.27460163
2014,4.764834538,16.58308354,,11.48645375,12.93517127,8.31869748,10.73615037,10.81251746,11.51935094,4.986816734,12.50481039,10.13963018,11.16214683
2015,4.183844912,18.95278173,,9.048204292,9.577332857,8.605876122,12.29875734,9.195062663,12.88278852,4.415439748,14.60961822,12.95858876,7.139034306
2016,6.159155092,20.53915938,,11.18306727,17.93838966,10.26594729,13.25175904,8.713916087,15.78802166,11.73074948,11.0677459,13.13221875,8.346548126
2017,5.659478738,20.44802478,,11.38733201,9.868578913,11.8881802,7.05231746,9.740878078,13.37726456,10.88223465,8.896252091,12.76786691,8.759387749
2018,5.653471933,17.72564272,,10.20928188,10.18853273,13.10314069,9.87004687,7.602745673,15.95153087,8.718624549,6.889942101,12.48283604,12.65580451
2019,4.881941138,18.0392459,,7.034312814,6.480913099,10.35104471,10.9165806,7.831786568,16.38389947,9.96281005,9.63465253,7.556318367,15.07599285
2020,5.274896127,16.84323699,,6.386413349,9.142592965,10.37561845,8.271727441,11.38727419,12.64482698,9.604454185,10.75550739,8.751351043,7.438214779
2021,5.474970946,17.94190157,,8.739037758,11.06102979,8.999526469,12.91218288,15.7190239,7.066676451,6.809102777,9.391492632,12.22275613,10.41127095
2022,5.803075943,19.19237222,,11.59260367,11.69997087,8.242355796,11.98435923,9.398572756,11.52023848,10.25173102,10.71137446,6.237859891,7.953249625
2023,5.74737614,17.94767404,,12.50451795,11.51150067,11.20554902,10.77081588,7.81236364,16.36811541,9.3106025,15.97420423,13.01343315,13.46616134
2024,5.596822627,18.49789759,,13.93685493,6.668147705,6.829916594,6.567215629,8.900724061,9.791002884,10.40306655,13.1407393,16.50032786,12.05840538
2025,5.760387989,19.19593371,,9.680986104,14.30934422,14.85294526,14.21242555,12.13571239,9.552582936,8.91539948,14.47707424,10.03938037,9.732497131
2026,6.360307646,19.30523862,,16.10342157,16.2182494,12.24900679,8.798888524,12.62269729,12.30308785,16.9427098,10.2821507,8.876405727,11.42505655
2027,5.795601144,20.48368287,,9.891406925,17.74053019,6.500466989,12.33339125,12.55986035,12.90043349,11.47395232,14.58909603,8.979845523,9.808440746
2028,5.091518452,17.66423491,,13.92248716,6.629586128,14.85629275,14.22736121,13.19613479,10.55703104,6.438091524,6.920153564,12.83080161,10.76812575
2029,5.759577214,17.88250417,,13.01917858,6.98428898,11.61722829,12.11883866,9.764322649,12.40110185,11.18473774,12.87314397,8.585618148,13.81516514
2030,5.351842832,18.45779074,,9.378707741,11.36412911,10.45418867,10.25109753,13.83028858,12.24522845,17.82728259,8.997527218,9.789428297,6.914659317
2031,5.331434149,18.66476976,,9.404515175,17.5853016,7.317382249,15.64641368,9.065231031,15.01524835,8.932125824,8.872029486,9.41967253,8.308177231
2032,6.199934848,20.2022118,,7.930436943,12.33698405,9.184733217,8.515676945,11.74777361,16.56421901,8.558763783,13.29864872,11.41857436,14.71696435
2033,5.49141332,19.53265176,,7.251638194,10.84876612,13.4777041,14.08015824,9.377560473,11.7158238,10.21147933,13.8996422,12.56958395,12.72373414
2034,4.461109935,19.26486498,,9.821933628,9.318170994,6.843332404,12.8244537,9.068528879,10.39830312,4.752197581,11.06289749,10.6146952,11.86840103
2035,5.112824297,17.2548755,,9.621400146,9.892378044,5.946949234,12.31992096,13.73958736,10.20159991,12.67699743,8.500745865,13.6888555,7.022114003
2036,4.979741722,18.09328829,,9.367618366,10.40284688,14.73053383,9.603614032,14.83665864,11.89637894,10.90408439,7.862458738,15.41844573,12.46938162
2037,5.564048357,16.69250365,,10.34340449,9.695622896,12.71545594,8.356702631,11.45071664,10.6278414,13.27815075,11.67948141,10.61757581,7.346725804
2038,5.989419247,18.63967426,,11.85699715,14.55173061,12.75139859,14.01672281,9.996733661,15.70525438,11.64081061,13.7357887,13.15304711,11.31103157
2039,5.404210367,17.91196065,,7.513691951,11.11783905,11.02826589,15.53341289,9.693974228,9.923111664,11.00220832,7.884174397,16.25790826,11.04406459
2040,5.722223706,17.90856033,,8.382447126,11.83670897,10.67700957,14.93513933,6.818328631,11.0282026,7.96557276,10.52309376,10.66527554,11.42503188
2041,5.431183137,21.51633299,,12.2281639,14.599391,7.077559182,14.88454046,11.66617599,8.906810738,9.515662384,10.6523294,8.293243475,9.56936633
2042,4.70692685,19.24768523,,9.706875408,11.28120469,13.61147211,9.687938624,11.02351531,10.53593871,7.849483483,15.05220952,8.036503753,11.23640006
2043,5.311113504,18.23258297,,7.898283837,8.208449121,10.95407588,10.4022768,16.09527094,15.12863421,10.77194961,6.488028775,10.3392174,8.965214425
2044,6.791769402,19.19742915,,8.087712853,11.44986999,10.98009231,13.56473471,10.28747229,9.801345312,15.52403951,10.37856472,11.47646319,8.984025698
2045,5.542153613,19.41941945,,6.939133734,18.06212702,14.47588744,12.83376854,9.611589603,8.567571197,9.977244669,13.81451471,10.3638296,8.242107961
2046,6.468691695,22.05722733,,9.65717,11.94341984,13.61785891,7.658108983,10.79962193,14.28596962,11.44468443,9.695334948,10.20696589,9.719227811
2047,5.266730599,21.32099838,,13.06089596,15.42738605,11.20893888,7.948561164,8.773306367,11.56194232,9.72633166,16.50594408,9.30100311,10.37843362
2048,5.775415218,20.88545526,,7.773099326,19.56107635,8.925298363,9.429827496,10.0385135,11.77282689,9.503884448,11.38564142,14.44889233,12.54334232
2049,5.317103373,20.90262516,,9.131239931,13.51701854,11.11922232,11.48154961,6.240745582,13.55069709,8.750604791,14.01816708,10.49791947,5.708893935
2050,4.917739791,22.4713299,,8.030154213,19.89372903,7.467890218,10.86124047,14.96819094,17.43605212,7.709180732,10.98193907,10.56471991,8.655242774
2051,5.71767463,19.7643039,,10.61409897,13.42561491,13.10282227,7.040374405,10.11443083,15.00260573,14.67793184,10.3767398,9.703376007,9.520121625
2052,5.79597439,23.05245104,,12.67961576,10.20959837,15.34053103,10.06359167,12.94291177,9.596465832,8.475880009,17.95282759,8.767811308,13.93602155
2053,4.864754055,19.88589912,,6.33968719,10.39359093,9.559986013,9.230992314,10.50755047,9.850197658,14.60997505,16.66326963,12.22303503,11.71261571
2054,5.316170068,20.23012182,,11.71985618,10.90634545,14.08226535,9.274152834,12.96040449,12.70573913,9.538819042,14.34281275,9.655524762,11.13934364
2055,5.152910568,19.37314234,,7.878575772,17.3659047,8.090269786,11.9474658,9.67286938,9.497676388,8.96901079,5.834945517,9.461378051,7.558422628
2056,5.229721882,18.01342489,,10.31624517,9.160860391,10.98238409,10.32203236,9.884532025,14.92465873,11.76100228,14.88644021,8.823082249,7.664197526
2057,5.653134272,20.3858394,,10.64513747,14.68102471,9.93843838,17.0865368,8.978259013,11.29241548,10.22033116,9.584603839,11.18240028,10.51323261
