"","year","model","precip","scenario","precipcm"
"106",1969,"CCSM4",10.9296534,"hist",27.761319636
"107",1970,"CCSM4",10.6317688,"hist",27.004692752
"108",1971,"CCSM4",9.437470514,"hist",23.97117510556
"109",1972,"CCSM4",8.737548305,"hist",22.1933726947
"110",1973,"CCSM4",13.21077324,"hist",33.5553640296
"111",1974,"CCSM4",17.64906108,"hist",44.8286151432
"112",1975,"CCSM4",9.866348726,"hist",25.06052576404
"113",1976,"CCSM4",7.741850099,"hist",19.66429925146
"114",1977,"CCSM4",7.19144243,"hist",18.2662637722
"115",1978,"CCSM4",13.14725313,"hist",33.3940229502
"116",1979,"CCSM4",10.78249526,"hist",27.3875379604
"117",1980,"CCSM4",9.739052954,"hist",24.73719450316
"118",1981,"CCSM4",7.828249316,"hist",19.88375326264
"119",1982,"CCSM4",8.078515326,"hist",20.51942892804
"120",1983,"CCSM4",12.16775476,"hist",30.9060970904
"121",1984,"CCSM4",16.01448507,"hist",40.6767920778
"122",1985,"CCSM4",8.342864203,"hist",21.19087507562
"123",1986,"CCSM4",5.644122641,"hist",14.33607150814
"124",1987,"CCSM4",8.992189458,"hist",22.84016122332
"125",1988,"CCSM4",15.69101072,"hist",39.8551672288
"126",1989,"CCSM4",8.293146385,"hist",21.0645918179
"127",1990,"CCSM4",7.375541459,"hist",18.73387530586
"128",1991,"CCSM4",12.38274998,"hist",31.4521849492
"129",1960,"CESM1.BGC",9.267300548,"hist",23.53894339192
"130",1961,"CESM1.BGC",10.27428579,"hist",26.0966859066
"131",1962,"CESM1.BGC",8.727335238,"hist",22.16743150452
"132",1963,"CESM1.BGC",8.455784837,"hist",21.47769348598
"133",1964,"CESM1.BGC",9.731954567,"hist",24.71916460018
"134",1965,"CESM1.BGC",15.56264352,"hist",39.5291145408
"135",1966,"CESM1.BGC",6.938848013,"hist",17.62467395302
"136",1967,"CESM1.BGC",9.287976004,"hist",23.59145905016
"137",1968,"CESM1.BGC",8.352845998,"hist",21.21622883492
"138",1969,"CESM1.BGC",14.71762005,"hist",37.382754927
