"","year","model","temp","scenario","tempC"
"103",1966,"CCSM4",65.28137207,"hist",18.48965115
"104",1967,"CCSM4",65.14321899,"hist",18.4128994388889
"105",1968,"CCSM4",63.01478577,"hist",17.2304365388889
"106",1969,"CCSM4",62.74650192,"hist",17.0813899555556
"107",1970,"CCSM4",64.38632202,"hist",17.9924011222222
"108",1971,"CCSM4",63.66083908,"hist",17.5893550444444
"109",1972,"CCSM4",63.32960129,"hist",17.40533405
"110",1973,"CCSM4",64.94178772,"hist",18.3009931777778
"111",1974,"CCSM4",62.23893356,"hist",16.7994075333333
"112",1975,"CCSM4",64.21652222,"hist",17.8980679
"113",1976,"CCSM4",63.24857712,"hist",17.3603206222222
"114",1977,"CCSM4",65.13768005,"hist",18.40982225
"115",1978,"CCSM4",64.73991394,"hist",18.1888410777778
"116",1979,"CCSM4",63.13953781,"hist",17.2997432277778
"117",1980,"CCSM4",64.50502777,"hist",18.0583487611111
"118",1981,"CCSM4",66.97480774,"hist",19.4304487444444
"119",1982,"CCSM4",64.09106445,"hist",17.8283691388889
"120",1983,"CCSM4",63.32844543,"hist",17.4046919055556
"121",1984,"CCSM4",61.65605164,"hist",16.4755842444444
"122",1985,"CCSM4",64.83137512,"hist",18.2396528444444
"123",1986,"CCSM4",67.2888031,"hist",19.6048906111111
"124",1987,"CCSM4",65.09010315,"hist",18.3833906388889
"125",1988,"CCSM4",64.32292938,"hist",17.9571829888889
"126",1989,"CCSM4",64.94360352,"hist",18.3020019555556
"127",1990,"CCSM4",65.86321259,"hist",18.8128958833333
"128",1991,"CCSM4",64.34929657,"hist",17.9718314277778
"129",1960,"CESM1.BGC",64.21795654,"hist",17.8988647444444
"130",1961,"CESM1.BGC",63.5452652,"hist",17.5251473333333
"131",1962,"CESM1.BGC",64.10018158,"hist",17.8334342111111
"132",1963,"CESM1.BGC",62.87575531,"hist",17.1531973944444
"133",1964,"CESM1.BGC",62.95914459,"hist",17.1995247722222
"134",1965,"CESM1.BGC",61.19419098,"hist",16.2189949888889
"135",1966,"CESM1.BGC",62.88492966,"hist",17.1582942555556
"136",1967,"CESM1.BGC",64.79204559,"hist",18.2178031055556
"137",1968,"CESM1.BGC",64.41631317,"hist",18.0090628722222
"138",1969,"CESM1.BGC",60.90090942,"hist",16.0560607888889
"139",1970,"CESM1.BGC",63.57778168,"hist",17.5432120444444
"140",1971,"CESM1.BGC",62.01563644,"hist",16.6753535777778
"141",1972,"CESM1.BGC",63.04856873,"hist",17.24920485
"142",1973,"CESM1.BGC",63.1041069,"hist",17.2800593888889
"143",1974,"CESM1.BGC",63.7275238,"hist",17.6264021111111
"144",1975,"CESM1.BGC",63.33443451,"hist",17.4080191722222
"145",1976,"CESM1.BGC",62.37483215,"hist",16.87490675
"146",1977,"CESM1.BGC",66.18022156,"hist",18.9890119777778
"147",1978,"CESM1.BGC",62.94139862,"hist",17.1896659
"148",1979,"CESM1.BGC",65.42803955,"hist",18.5711330833333
"149",1980,"CESM1.BGC",63.98905563,"hist",17.7716975722222
"150",1981,"CESM1.BGC",64.07216644,"hist",17.8178702444444
"151",1982,"CESM1.BGC",63.55729294,"hist",17.5318294111111
"152",1983,"CESM1.BGC",64.55644226,"hist",18.0869123666667
"153",1984,"CESM1.BGC",64.28964233,"hist",17.9386901833333
"154",1985,"CESM1.BGC",65.30944824,"hist",18.5052490222222
"155",1986,"CESM1.BGC",64.18692017,"hist",17.8816223166667
"156",1987,"CESM1.BGC",63.69830322,"hist",17.6101684555556
"157",1988,"CESM1.BGC",65.96038818,"hist",18.8668823222222
"158",1989,"CESM1.BGC",64.59901428,"hist",18.1105634888889
"159",1990,"CESM1.BGC",64.24053192,"hist",17.9114066222222
"160",1991,"CESM1.BGC",65.39425659,"hist",18.5523647722222
"161",1960,"CMCC.CMS",62.58763886,"hist",16.9931327
"162",1961,"CMCC.CMS",64.99737549,"hist",18.3318752722222
"163",1962,"CMCC.CMS",63.76652527,"hist",17.6480695944444
"164",1963,"CMCC.CMS",65.27154541,"hist",18.4841918944444
"165",1964,"CMCC.CMS",62.40631104,"hist",16.8923950222222
"166",1965,"CMCC.CMS",63.49000168,"hist",17.4944453777778
"167",1966,"CMCC.CMS",65.47045136,"hist",18.5946952
"168",1967,"CMCC.CMS",60.20080566,"hist",15.6671142555556
"169",1968,"CMCC.CMS",62.64004517,"hist",17.0222473166667
"170",1969,"CMCC.CMS",63.11267853,"hist",17.2848214055556
"171",1970,"CMCC.CMS",63.74279785,"hist",17.6348876944444
"172",1971,"CMCC.CMS",63.80509186,"hist",17.6694954777778
"173",1972,"CMCC.CMS",61.38578796,"hist",16.3254377555556
"174",1973,"CMCC.CMS",66.55722046,"hist",19.1984558111111
"175",1974,"CMCC.CMS",66.4380188,"hist",19.1322326666667
"176",1975,"CMCC.CMS",64.40895081,"hist",18.0049726722222
"177",1976,"CMCC.CMS",63.94071579,"hist",17.7448421055556
"178",1977,"CMCC.CMS",62.62543488,"hist",17.0141304888889
"179",1978,"CMCC.CMS",63.86408615,"hist",17.7022700833333
"180",1979,"CMCC.CMS",63.53367233,"hist",17.51870685
"181",1980,"CMCC.CMS",63.83453369,"hist",17.68585205
"182",1981,"CMCC.CMS",62.56808472,"hist",16.9822692888889
"183",1982,"CMCC.CMS",62.91113281,"hist",17.1728515611111
"184",1983,"CMCC.CMS",63.32899475,"hist",17.4049970833333
"185",1984,"CMCC.CMS",62.81813049,"hist",17.1211836055556
"186",1985,"CMCC.CMS",64.53606415,"hist",18.0755911944444
"187",1986,"CMCC.CMS",65.65847778,"hist",18.6991543222222
"188",1987,"CMCC.CMS",65.55587006,"hist",18.6421500333333
"189",1988,"CMCC.CMS",65.1337738,"hist",18.4076521111111
"190",1989,"CMCC.CMS",64.31985474,"hist",17.9554748555556
"191",1990,"CMCC.CMS",66.52178955,"hist",19.1787719722222
"192",1991,"CMCC.CMS",64.87801361,"hist",18.2655631166667
"193",1960,"CNRM.CM5",64.16252899,"hist",17.8680716611111
"194",1961,"CNRM.CM5",63.19947052,"hist",17.3330391777778
"195",1962,"CNRM.CM5",63.54630661,"hist",17.5257258944444
"196",1963,"CNRM.CM5",62.61005402,"hist",17.0055855666667
"197",1964,"CNRM.CM5",61.63781738,"hist",16.4654541
"198",1965,"CNRM.CM5",62.8624649,"hist",17.1458138333333
"199",1966,"CNRM.CM5",63.26714325,"hist",17.3706351388889
"200",1967,"CNRM.CM5",61.85298157,"hist",16.5849897611111
"201",1968,"CNRM.CM5",63.28554535,"hist",17.3808585277778
"202",1969,"CNRM.CM5",63.82777405,"hist",17.6820966944444
"203",1970,"CNRM.CM5",63.8072319,"hist",17.6706843888889
"204",1971,"CNRM.CM5",64.85241699,"hist",18.2513427722222
"205",1972,"CNRM.CM5",62.92991638,"hist",17.1832868777778
"206",1973,"CNRM.CM5",62.91497803,"hist",17.1749877944444
"207",1974,"CNRM.CM5",61.11261749,"hist",16.1736763833333
"208",1975,"CNRM.CM5",63.38172913,"hist",17.4342939611111
"209",1976,"CNRM.CM5",63.86051559,"hist",17.7002864388889
"210",1977,"CNRM.CM5",63.62150574,"hist",17.5675031888889
"211",1978,"CNRM.CM5",64.38824463,"hist",17.9934692388889
"212",1979,"CNRM.CM5",63.30169678,"hist",17.3898315444444
"213",1980,"CNRM.CM5",66.17500305,"hist",18.9861128055556
"214",1981,"CNRM.CM5",63.40738678,"hist",17.4485482111111
"215",1982,"CNRM.CM5",63.21380615,"hist",17.3410034166667
"216",1983,"CNRM.CM5",63.25357819,"hist",17.3630989944444
"217",1984,"CNRM.CM5",65.09059906,"hist",18.3836661444444
"218",1985,"CNRM.CM5",62.42921448,"hist",16.9051191555556
"219",1986,"CNRM.CM5",65.47457123,"hist",18.5969840166667
"220",1987,"CNRM.CM5",64.18774414,"hist",17.8820800777778
"221",1988,"CNRM.CM5",64.71228027,"hist",18.1734890388889
"222",1989,"CNRM.CM5",64.09161377,"hist",17.8286743166667
"223",1990,"CNRM.CM5",66.25734711,"hist",19.0318595055556
"224",1991,"CNRM.CM5",65.31060028,"hist",18.5058890444444
"225",1960,"GFDL.CM3",62.24332809,"hist",16.8018489388889
"226",1961,"GFDL.CM3",64.2711792,"hist",17.9284328888889
"227",1962,"GFDL.CM3",62.69777679,"hist",17.0543204388889
"228",1963,"GFDL.CM3",62.25469971,"hist",16.8081665055556
"229",1964,"GFDL.CM3",65.52323914,"hist",18.6240217444444
"230",1965,"GFDL.CM3",60.98638153,"hist",16.1035452944444
"231",1966,"GFDL.CM3",65.48313904,"hist",18.6017439111111
"232",1967,"GFDL.CM3",60.46914673,"hist",15.8161926277778
"233",1968,"GFDL.CM3",64.10814667,"hist",17.8378592611111
"234",1969,"GFDL.CM3",61.00802612,"hist",16.1155700666667
"235",1970,"GFDL.CM3",61.92384338,"hist",16.6243574333333
"236",1971,"GFDL.CM3",64.11386108,"hist",17.8410339333333
"237",1972,"GFDL.CM3",64.04382324,"hist",17.8021240222222
"238",1973,"GFDL.CM3",65.45611572,"hist",18.5867309555556
"239",1974,"GFDL.CM3",63.94532776,"hist",17.7474043111111
