"","scenario","model","m","minVal","maxVal"
"1","hist","ACCESS1.0",0.518568059027778,-1.00332683888889,1.86636395
"2","hist","CanESM2",0.602176652777778,-1.34713702777778,1.97235107222222
"3","hist","CCSM4",0.649595061631944,-1.19854715,2.17389000555556
"4","hist","CESM1.BGC",0.608472724479167,-1.0757139,2.51925574444445
"5","hist","CMCC.CMS",0.531452099652778,-1.51504516666667,1.87554889444444
"6","hist","CNRM.CM5",0.458094378472222,-0.783416961111111,1.44403033888889
"7","hist","GFDL.CM3",0.617061522222222,-1.16711404444444,2.54040612222222
"8","hist","HadGEM2.CC",0.706661244444444,-1.0827944,1.95623821666667
"9","hist","HadGEM2.ES",0.527962677777778,-1.21276855555556,1.75479041111111
"10","hist","MIROC5",0.489290290451389,-1.85293621666667,1.96243286111111
"11","hist","Observed",0.551905499826389,-0.418522094444445,1.69691933333333
"12","rcp45","ACCESS1.0",2.81489979796296,1.06912188888889,3.98727417222222
"13","rcp45","CanESM2",3.45623786351852,2.36489825555556,4.6065055
"14","rcp45","CCSM4",2.95767423851852,0.661101872222222,4.50347900555555
"15","rcp45","CESM1.BGC",2.84923511074074,1.27423180555555,4.43344116111111
"16","rcp45","CMCC.CMS",2.72066971166667,0.855469172222223,4.38909954444445
"17","rcp45","CNRM.CM5",3.28670544092593,1.96096843888889,4.97235192222222
"18","rcp45","GFDL.CM3",3.12248116962963,1.22582965555555,4.25344891111111
"19","rcp45","HadGEM2.CC",3.14148062240741,1.04431152222222,4.52816857222222
"20","rcp45","HadGEM2.ES",3.18435167388889,1.71441607777778,4.30902057222222
"21","rcp45","MIROC5",2.80021582703704,1.52587890555556,4.04791302222222
"22","rcp85","ACCESS1.0",3.34747413351852,1.99768066666667,4.66332965555555
"23","rcp85","CanESM2",4.34896553888889,2.88250817222222,5.67105187222222
"24","rcp85","CCSM4",3.80671593037037,2.60418786111111,5.01013226111111
"25","rcp85","CESM1.BGC",3.349569745,1.39794879444445,5.13809203888889
"26","rcp85","CMCC.CMS",3.54060250777778,0.987854005555554,5.36654578333333
"27","rcp85","CNRM.CM5",3.80593773203704,1.79833942222222,5.30728234444444
"28","rcp85","GFDL.CM3",3.65430619981481,2.39657507777778,5.27801513888889
"29","rcp85","HadGEM2.CC",4.15175494462963,2.00711144444444,6.46478228888889
"30","rcp85","HadGEM2.ES",3.89112854018519,1.94549560555555,6.06039471111111
"31","rcp85","MIROC5",3.25435186333333,1.77511638888889,4.86218346666667
